seconds,sensor_0,sensor_1,actuator_0,target
32.4800,26.3790,26.1240,30.0000,"25.0"
32.5200,26.3790,26.1240,30.0000,"25.0"
32.5400,26.4040,26.1240,30.0000,"25.0"
32.5800,26.4300,26.1240,30.0000,"25.0"
32.6000,26.3790,26.1240,30.0000,"25.0"
32.6400,26.4040,26.1240,30.0000,"25.0"
32.6600,26.3790,26.1500,30.0000,"25.0"
32.7001,26.4040,26.1240,30.0000,"25.0"
32.7201,26.4040,26.1240,30.0000,"25.0"
32.7600,26.3790,26.1500,30.0000,"25.0"
32.7800,26.3530,26.1240,30.0000,"25.0"
32.8200,26.4040,26.1240,30.0000,"25.0"
32.8400,26.4040,26.1240,30.0000,"25.0"
32.8800,26.4040,26.1500,30.0000,"25.0"
32.9000,26.3790,26.1500,30.0000,"25.0"
32.9400,26.4040,26.1500,30.0000,"25.0"
32.9600,26.4040,26.1500,30.0000,"25.0"
33.0000,26.4040,26.1240,30.0000,"25.0"
33.0200,26.4040,26.1500,30.0000,"25.0"
33.0600,26.4040,26.1500,30.0000,"25.0"
33.0800,26.4300,26.1240,30.0000,"25.0"
33.1200,26.3790,26.1240,30.0000,"25.0"
33.1401,26.4040,26.1240,30.0000,"25.0"
33.1800,26.4040,26.1500,30.0000,"25.0"
33.2000,26.4300,26.1500,30.0000,"25.0"
33.2400,26.4300,26.1500,30.0000,"25.0"
33.2600,26.3790,26.1240,30.0000,"25.0"
33.3000,26.3790,26.1240,30.0000,"25.0"
33.3400,26.4300,26.1500,30.0000,"25.0"
33.3600,26.4040,26.1500,30.0000,"25.0"
33.4000,26.4040,26.1240,30.0000,"25.0"
33.4200,26.4040,26.1500,30.0000,"25.0"
33.4600,26.3790,26.1240,30.0000,"25.0"
33.4800,26.3790,26.1750,30.0000,"25.0"
33.5200,26.4040,26.1500,30.0000,"25.0"
33.5400,26.4300,26.1500,30.0000,"25.0"
33.5801,26.4040,26.1500,30.0000,"25.0"
33.6001,26.4040,26.1240,30.0000,"25.0"
33.6400,26.4300,26.1240,30.0000,"25.0"
33.6600,26.4040,26.1500,30.0000,"25.0"
33.7000,26.4040,26.1500,30.0000,"25.0"
33.7200,26.4300,26.1500,30.0000,"25.0"
33.7600,26.4040,26.1500,30.0000,"25.0"
33.7800,26.3790,26.1500,30.0000,"25.0"
