time,temp_a,temp_b
01:82.843,26.1,26.32
01:82.970,26.11,26.32
01:83.093,26.11,26.32
01:83.216,26.11,26.32
01:83.339,26.11,26.33
01:83.466,26.11,26.33
01:83.588,26.11,26.34
01:83.711,26.12,26.34
01:83.838,26.12,26.34
01:83.961,26.12,26.34
01:84.084,26.13,26.35
01:84.207,26.13,26.36
01:84.334,26.13,26.36
01:84.457,26.14,26.37
01:84.580,26.14,26.37
01:84.703,26.15,26.38
01:84.829,26.15,26.38
01:84.953,26.15,26.39
01:85.075,26.16,26.39
01:85.202,26.16,26.4
01:85.325,26.17,26.4
01:85.448,26.17,26.4
01:85.571,26.18,26.4
01:85.698,26.18,26.4
01:85.821,26.18,26.4
01:85.944,26.19,26.4
01:86.067,26.19,26.4
01:86.193,26.2,26.4
01:86.316,26.2,26.4
01:86.439,26.2,26.4
01:86.562,26.2,26.4
01:86.689,26.2,26.41
01:86.812,26.2,26.4
01:86.935,26.2,26.41
01:87.058,26.2,26.41
01:87.185,26.2,26.41
01:87.307,26.2,26.41
01:87.431,26.2,26.41
01:87.557,26.2,26.41
01:87.680,26.2,26.41
01:87.803,26.2,26.41
01:87.926,26.2,26.41
01:88.053,26.2,26.41
01:88.176,26.2,26.41
01:88.299,26.2,26.41
01:88.422,26.2,26.41
01:88.548,26.2,26.41
01:88.672,26.2,26.41
01:88.795,26.2,26.41
01:88.917,26.2,26.41
01:89.044,26.2,26.41
01:89.167,26.2,26.41
01:89.290,26.2,26.41
01:89.417,26.2,26.41
01:89.540,26.2,26.41
01:89.663,26.21,26.41
01:89.786,26.21,26.41
01:89.912,26.21,26.41
01:90.036,26.21,26.42
01:90.159,26.21,26.42
01:90.281,26.21,26.42
01:90.408,26.21,26.43
01:90.531,26.22,26.42
01:90.654,26.22,26.43
01:90.780,26.22,26.43
01:90.904,26.22,26.43
01:91.027,26.23,26.44
01:91.150,26.23,26.45
01:91.276,26.23,26.45
01:91.399,26.24,26.45
01:91.522,26.24,26.46
01:91.645,26.25,26.46
01:91.772,26.25,26.47
01:91.895,26.26,26.47
01:92.018,26.26,26.47
01:92.141,26.26,26.48
01:92.267,26.27,26.48
01:92.391,26.27,26.49
01:92.514,26.28,26.49
01:92.640,26.28,26.5
01:92.763,26.29,26.5
01:92.886,26.29,26.5
01:93.009,26.29,26.5
01:93.136,26.29,26.5
01:93.259,26.3,26.5
01:93.382,26.3,26.51
01:93.505,26.3,26.51
01:93.631,26.3,26.51
01:93.755,26.3,26.51
01:93.878,26.3,26.51
01:94.001,26.3,26.51
01:94.127,26.3,26.51
01:94.250,26.3,26.51
01:94.373,26.3,26.51
01:94.500,26.3,26.51
01:94.623,26.3,26.51
01:94.746,26.3,26.51
01:94.869,26.3,26.51
01:94.995,26.3,26.51
01:95.119,26.3,26.51
01:95.242,26.3,26.51
01:95.364,26.3,26.51
01:95.491,26.3,26.51
01:95.614,26.3,26.51
01:95.737,26.3,26.51
01:95.860,26.3,26.51
01:95.987,26.3,26.51
01:96.110,26.3,26.51
01:96.233,26.31,26.51
01:96.356,26.3,26.51
01:96.482,26.31,26.51
01:96.606,26.3,26.51
01:96.728,26.31,26.51
01:96.855,26.31,26.51
01:96.978,26.31,26.51
01:97.101,26.31,26.51
01:97.224,26.31,26.51
01:97.351,26.31,26.52
01:97.474,26.31,26.52
01:97.597,26.31,26.52
01:97.720,26.31,26.52
01:97.846,26.32,26.52
01:97.970,26.32,26.53
01:98.092,26.32,26.53
01:98.215,26.32,26.53
01:98.342,26.33,26.54
01:98.465,26.33,26.54
01:98.588,26.34,26.54
01:98.715,26.34,26.54
01:98.838,26.34,26.55
01:98.961,26.34,26.56
01:99.084,26.35,26.56
01:99.210,26.36,26.56
01:99.333,26.36,26.57
01:99.456,26.37,26.58
01:99.579,26.37,26.58
01:99.706,26.37,26.59
01:99.829,26.38,26.59
01:99.952,26.38,26.59
01:100.075,26.38,26.6
01:100.201,26.39,26.6
01:100.325,26.39,26.6
01:100.447,26.4,26.6
01:100.574,26.4,26.61
01:100.697,26.4,26.61
01:100.820,26.4,26.61
01:100.943,26.4,26.61
01:101.070,26.4,26.61
01:101.193,26.4,26.61
01:101.315,26.4,26.61
01:101.439,26.4,26.61
01:101.565,26.4,26.61
01:101.688,26.41,26.61
01:101.811,26.4,26.61
01:101.934,26.4,26.61
01:102.061,26.41,26.61
01:102.184,26.41,26.61
01:102.307,26.41,26.61
01:102.434,26.41,26.61
01:102.557,26.41,26.61
01:102.680,26.41,26.61
01:102.803,26.41,26.61
01:102.929,26.41,26.61
01:103.053,26.41,26.61
01:103.175,26.41,26.61
01:103.298,26.41,26.61
01:103.425,26.41,26.61
01:103.548,26.41,26.61
01:103.671,26.41,26.61
01:103.798,26.41,26.61
01:103.921,26.41,26.61
01:104.044,26.41,26.61
01:104.167,26.41,26.61
01:104.293,26.41,26.61
01:104.416,26.41,26.61
01:104.539,26.41,26.61
01:104.662,26.41,26.62
01:104.789,26.42,26.62
01:104.912,26.42,26.62
01:105.035,26.42,26.62
01:105.161,26.42,26.62
01:105.284,26.43,26.63
01:105.408,26.43,26.63
01:105.530,26.44,26.63
01:105.657,26.44,26.64
01:105.780,26.44,26.64
01:105.903,26.44,26.65
01:106.026,26.45,26.65
01:106.153,26.45,26.66
01:106.276,26.46,26.66
01:106.399,26.46,26.67
01:106.522,26.47,26.67
01:106.649,26.48,26.68
01:106.772,26.48,26.68
01:106.895,26.48,26.68
01:107.021,26.49,26.69
01:107.144,26.49,26.69
01:107.267,26.49,26.7
01:107.390,26.5,26.7
